Titre;Auteur;Infos biblios;Créateur / Éditeur;Sujet;Collection;Édition;Langue;ISBN;ISBN (13);ISSN
Fêtes et littérature orale en Aragon ;Fribourg , Jeanine ;"Fêtes et littérature orale en Aragon / Jeanine Fribourg ; préf. de Geneviève Calame-Griaule";"Fribourg , Jeanine (Paris ; Montréal : Ed. l'Harmattan, 1996 ;  58-Clamecy :  Impr. Laballery)";Ethnolinguistique   Oral tradition -- Spain -- Aragon   Festivals -- Spain -- Aragon  et autres;Recherches et documents . Espagne;;Français;2-7384-4290-0 ;9782738442901 ;
Comment vivre entre les autres sans être chef et sans être esclave  ;Friedman , Yona ;Comment vivre entre les autres sans être chef et sans être esclave [Texte imprimé] / Yona Friedman;"Friedman , Yona ([Paris] : J.-J. Pauvert, impr.1974 ;  86-Poitiers :  impr. Aubin)";Groupes sociaux   Communauté ;;;Français;2-7202-0019-0 ;9782720200199 ;
Fin du peuple juif ?  ;Friedmann , Georges ;Fin du peuple juif ? [Texte imprimé] / Georges Friedmann;Friedmann , Georges (Paris : Gallimard, 1965);Juifs -- Conditions sociales   Juifs -- Politique et gouvernement   1945-....  et autres;"Idées . Sciences humaines ; 74";;Français;;;
Machine et humanisme . 2 . Problèmes humains du machinisme industriel ;Friedmann , Georges ;Machine et humanisme . 2 . Problèmes humains du machinisme industriel / Georges Friedmann,...;Friedmann , Georges ([Paris] : Gallimard, [1946]);Division du travail   Machinisme   Ergonomie  et autres;"Machinisme et humanisme ; 2";8e éd.;Français;;;
Montaigne ;Friedrich , Hugo ;"Montaigne / Hugo Friedrich ; traduit de l'allemand par Robert Rovini";"Friedrich , Hugo (Paris : Éd. Gallimard, [impr. 1968] ; [C 1949])";Montaigne, Michel de   Biographies -- 1533-1592 -- Critique et interprétation -- 1533-1592 ;Bibliothèque des idées;;Français;;;
La Crise de la psychanalyse  : essais sur Freud, Marx et la psychologie sociale ;Fromm , Erich ;"La Crise de la psychanalyse [Texte imprimé] : essais sur Freud, Marx et la psychologie sociale / Erich Fromm ; [traduit de l'américain par Jean-René Ladmiral]";"Fromm , Erich ([Paris] : Denoël : Gonthier, impr. 1973 ;  27-Évreux :  impr. Mourral)";Freud, Sigmund   Marx, Karl   Psychanalyse  et autres;"Bibliothèque Médiations ; 109";;Français;;;
O texto e o acto  : 32 anos de teatro (1968-2000) ;Fundação Calouste Gulbenkian ;O texto e o acto [Texte imprimé] : 32 anos de teatro (1968-2000) / simpósio organizado pela Fundação Calouste Gulbenkian em colaboração Fundação da Casa de Mateus, 26-28 de Abril de 1984;Fundação Calouste Gulbenkian (Lisbonne) (Lisboa : Fundação Calouste Gulbenkian, D. L. 1988);Théâtre ;;;Portugais;;;
La tentation américaine  : roman ;Furlan , Pierre ;La tentation américaine [Texte imprimé] : roman / Pierre Furlan;"Furlan , Pierre (Arles : Actes sud, 1993 ;  53-Mayenne :  Impr. Floch)";;;;Français;2-7427-0081-1 ;9782742700813 ;
Italo Svevo : conscience et réalité ;Fusco , Mario ;Italo Svevo : conscience et réalité / Mario Fusco;Fusco , Mario ([Paris] : Gallimard, DL 1973);Svevo, Italo   Critique et interprétation -- 1861-1928 ;Bibliothèque des idées;;Français;2-07-028381-X ;9782070283811 ;
Sophie's world : a novel about the history of philosophy  ;Gaarder , Jostein ;"Sophie's world : a novel about the history of philosophy [Texte imprimé] / Jostein Gaarder ; translated by Paulette Møller";Gaarder , Jostein (New York : Berkley Books, 1996);;New York Times Bestseller;;Anglais;0-425-15225-1 ;9780425152256 ;
Idéologies . II . Althussérisme et stalinisme ;Gabel , Joseph ;Idéologies . II . Althussérisme et stalinisme / Joseph Gabel;"Gabel , Joseph (Paris : Éditions Anthropos, copyright 1978 ;  30-Méjannes-lès-Alès :  Impr. des Éditions Anthropos,  1978)";Société communiste   Idéologie   Stalinisme ;;;Français;2-7157-0320-1 ;9782715703209 ;
La fausse conscience : essai sur la réification ;Gabel , Joseph ;La fausse conscience : essai sur la réification / Joseph Gabel;Gabel , Joseph (Paris : Éditions de Minuit, DL 1962);Alienation (Social psychology)   Consciousness   Mental illness  et autres;"Arguments ; 11";;Français;;;
Communisme et dialectique  ;Gabel , Joseph ;Communisme et dialectique [Texte imprimé] / Joseph Gabel;Gabel , Joseph ([S.l.] : [S.n], 1958);Communisme   Matérialisme dialectique ;;;Français;;;
La fausse conscience  : essai sur la réification ;Gabel , Joseph ;La fausse conscience [Texte imprimé] : essai sur la réification / Joseph Gabel;"Gabel , Joseph (Paris : Les éditions de Minuit, 1969 ;  53-Mayenne)";Philosophie marxiste   Réification   Société communiste ;"Arguments ; 11";3e édition revue et augmentée;Français;;;
Claudel et l'univers chinois  : thèse pour le doctorat ;Gadoffre , Gilbert ;Claudel et l'univers chinois [Texte imprimé] : thèse pour le doctorat / présentée par Gilbert Gadoffre;Gadoffre , Gilbert ([Paris] : Gallimard, impr. 1968);Claudel, Paul   Thèses et écrits académiques -- Et la Chine -- 1868-1955 ;"Cahiers Paul Claudel ; VIII";;Français;;;
Nietzsche et Valéry : essai sur la comédie de l'esprit ;Gaède , Édouard ;Nietzsche et Valéry : essai sur la comédie de l'esprit / Edouard Gaède;Gaède , Édouard ([Paris] : Gallimard, cop. 1962);Nietzsche, Friedrich   Valéry, Paul   Nietzsche, Friedrich Wilhelm  et autres;Bibliothèque des idées;;Français;;;
"Le cadi et la mouche  : anthologie du ""Livre des animaux"" ";???i? , 'Amr ibn Ba?r al- ;"Le cadi et la mouche [Texte imprimé] : anthologie du ""Livre des animaux"" / Jâhiz ; extraits choisis, traduits de l'arabe et présentés par Lakhdar Souami";"???i? , 'Amr ibn Ba?r al- (Paris : Sindbad, impr. 1988 ;  21-Quétigny :  Impr. Darantière)";???i?, ?Amr ibn Ba?r al- (0776-0868) -- Kit?b al-?ayawan   Littérature arabe -- 750-1258   Zoologie  et autres;La Bibliothèque arabe . Collection Les Classiques;;Français;2-7274-0151-5 ;9782727401513 ;
La beauté du geste  ;Galard , Jean ;La beauté du geste [Texte imprimé] / Jean Galard;"Galard , Jean (Bruxelles ; Paris : Les impressions nouvelles, 1986)";Esthétique ;;;Français;2-906131-01-6 ;9782906131019 ;
Le nouvel État industriel : essai sur le système économique américain ;Galbraith , John Kenneth ;"Le nouvel État industriel : essai sur le système économique américain / John Kenneth Galbraith ; traduit de l'anglais par J.-L. Crémieux-Brilhac et Maurice Le Nan";Galbraith , John Kenneth ([Paris] : Gallimard, DL 1968);Économie politique   Planification économique   États-Unis  et autres;Bibliothèque des sciences humaines;;Français;;;
L'argent ;Galbraith , John Kenneth ;"L'argent / John Kenneth Galbraith ; traduit de l'anglais par Daniel Blanchard";"Galbraith , John Kenneth (Paris : Gallimard, DL 1976 ; 18-Saint-Amand : Imprimerie Bussière)";Économie politique -- Histoire   Monnaie   Histoire  et autres;"Collection Idées ; 366";;Français;2-07-035366-4 ;9782070353668 ;
L'Art nègre, sources, évolution, expansion  Festival mondial des arts nègres et au Grand palais à Paris, par la Réunion des musées nationaux;Galeries nationales du Grand Palais ;L'Art nègre, sources, évolution, expansion [Texte imprimé] : Exposition organisée au Musée dynamique à Dakar par le Commissariat du [premier] Festival mondial des arts nègres et au Grand palais à Paris, par la Réunion des musées nationaux;"Galeries nationales du Grand Palais (Paris) (Dakar : Musée dynamique à Dakar ; Paris : Réunion des musées nationaux, 1966)";"Art noir   Art africain   Catalogues d&apos;exposition ";;;"Français; Anglais";;;
Le cortège des vainqueurs : roman ;Gallo , Max ;Le cortège des vainqueurs : roman / Max Gallo;Gallo , Max (Paris : R. Laffont, 1972);Roman français ;;;Français;;;
Gauchisme, réformisme et révolution  ;Gallo , Max ;Gauchisme, réformisme et révolution [Texte imprimé] / Max Gallo;Gallo , Max (Paris : R. Laffont, impr. 1968);Communisme   Socialisme   France ;Collection Contestation;;Français;;;
L'oiseau des origines  : roman ;Gallo , Max ;L'oiseau des origines [Texte imprimé] : roman / Max Gallo;Gallo , Max (Paris : R. Laffont, [1974]);;;;Français;;;
Un Pas vers la mer  : roman ;Gallo , Max ;Un Pas vers la mer [Texte imprimé] : roman / Max Gallo;"Gallo , Max (Paris : R. Laffont, 1973 ;  27-Mesnil-sur-l'Estrée :  impr. Firmin-Didot)";;;;Français;;;
Un Crime très ordinaire  : roman ;Gallo , Max ;Un Crime très ordinaire [Texte imprimé] : roman / Max Gallo;Gallo , Max (Paris : Grasset, 1982);;;;Français;2-246-26691-2 ;9782246266914 ;
Le démon du style  ;Gandon , Yves ;Le démon du style [Texte imprimé] / Yves Gandon;Gandon , Yves (Paris : Plon, [1960]);Style littéraire   19e siècle   Écrivains français  et autres;;Nouv. éd. rev. et augmentée.;Français;;;
Essais d'esthétique paradoxale ;Gans , Eric Lawrence ;Essais d'esthétique paradoxale / par E. L. Gans;Gans , Eric Lawrence ([Paris] : Gallimard, DL 1977);Paradoxe   Littérature -- Esthétique   Représentation (esthétique)  et autres;"Les Essais ; 202";;Français;;;
La Bouche  Albertine ;Ganzl , Serge ;La Bouche [Texte imprimé] [suivi de] Albertine / Serge Ganzl;"Ganzl , Serge ([Paris] : Stock, 1974 ;  27-Mesnil-sur-l'Estrée :  impr. Firmin-Didot)";;Théâtre ouvert;;Français;2-234-00171-4 ;9782234001718 ;
Théâtre . II ;García Lorca , Federico ;"Théâtre . II / Federico García Lorca / traduit de l'espagnol par Marcelle Auclair ; avec la collaboration avec Jean Prévost, Michel Prévost et Paul Lorenz";García Lorca , Federico (Paris : Gallimard, 1953);Littérature espagnole -- 1900-1939   Théâtre (genre littéraire) espagnol ;"Oeuvres complètes ; Tome IV";;Français;;;
Théâtre . 3  . Petit théâtre . Le jeu de Don cristobal . Lorsque cinq ans auront passé . Le Public . La Maison de Bernarda ;García Lorca , Federico ;"Théâtre . 3 [Texte imprimé] . Petit théâtre . Le jeu de Don cristobal . Lorsque cinq ans auront passé . Le Public . La Maison de Bernarda / Federico García Lorca ; traduit de l'espagnol par Marcelle Auclair, André Belamich, Claude Couffon et Paul Verdevoye";"García Lorca , Federico (Paris : Gallimard, 1956 ;  Mayenne :  Impr. Floch)";;"Soleil ; 104";;Français;;;
Moyen Age et Renaissance ;Garin , Eugenio ;"Moyen Age et Renaissance / Eugenio Garin ; traduit de l'italien par Claude Carme";Garin , Eugenio ([Paris] : Gallimard, DL 1969);Philosophie de la Renaissance   Philosophie médiévale   Humanisme de la Renaissance  et autres;Bibliothèque des idées;;Français;;;
L'Ile d'Aix à travers les temps  ;Garnier , Élie ;"L'Ile d'Aix à travers les temps [Texte imprimé] / par le Dr E. Garnier, ... ; préface de M. le médecin-inspecteur [H.]Fournié";"Garnier , Élie (La Rochelle : Rumeur des âges, 1984 ;  86-Poitiers :  Nouvelles impr. graphiques)";"Île-d&apos;Aix (Charente-Maritime)   Histoire ";;;Français;2-903974-06-3 ;9782903974060 ;
La pomme rouge  : roman ;Garnung , Francis ;"La pomme rouge [Texte imprimé] : roman / Francis Garnung ; [préf. par Guy Dupré]";"Garnung , Francis (Paris : Phébus, 1996 ;  61-Lonrai :  Normandie roto impr.)";;D'aujourd'hui;;Français;2-85940-429-5 ;9782859404291 ;
Les racines du ciel : roman ;Gary , Romain ;Les racines du ciel : roman / Romain Gary;Gary , Romain (Paris : Gallimard, DL 1956);Roman français ;;;Français;978-2-07-022663-4 ;978-2-07-022663-4 ;
Le geste Rwanda  ;Gasarabwe , Édouard ;Le geste Rwanda [Texte imprimé] / par Edouard Gasarabwe Laroche;"Gasarabwe , Édouard (Paris : Union générale d'éditions, 1978 ;  18-Saint-Amand :  impr. Bussière)";"Ethnologie -- Rwanda   Tutsi (peuple d&apos;Afrique)   Twa (peuple d&apos;Afrique)  et autres";"10-18 ; 1223 . Série La Voie des autres";;Français;2-264-00865-2 ;9782264008657 ;
Les moutons de feu  ;Gascar , Pierre ;Les moutons de feu [Texte imprimé] / Pierre Gascar;Gascar , Pierre ([Paris] : Gallimard, 1963);;;;Français;;;
Sol absolu ;Gaspar , Lorand ;Sol absolu / Lorand Gaspar;Gaspar , Lorand ([Paris] : Gallimard, DL 1972);;;;Français;;;
La peinture romaine et paléochrétienne ;Gassiot-Talabot , Gérald ;La peinture romaine et paléochrétienne / Gérald Gassiot-Talabot;Gassiot-Talabot , Gérald (Lausanne : Editions Rencontre, copyright 1965);Peinture romaine   Art paléochrétien ;"Histoire intégrale de l'art ; 4";;Français;;;
Action culturelle : intégration et;Gaudibert , Pierre ;Action culturelle : intégration et/ou subversion / par Pierre Gaudibert;Gaudibert , Pierre (Tournai : Casterman, DL 1972);Socialization   Politique et culture   Politique culturelle  et autres;"Collections ""M. O."" (Mutations, Orientations) ; 20 .- Casterman poche";;Français;;;
Allal El Fassi  : ou l'Histoire de l'Istiqlal ;Gaudio , Attilio ;"Allal El Fassi [Texte imprimé] : ou l'Histoire de l'Istiqlal / Attilio Gaudio ; préface de Jacques Berque";Gaudio , Attilio (Paris : A. Moreau, impr. 1972);F?s?, ?All?l al-   Istiql?l -- Maroc   Maroc -- Politique et gouvernement -- 20e siècle -- 1906?-1974 ;Histoire et Actualité;;Français;;;
Oviri, écrits d'un sauvage  ;Gauguin , Paul ;"Oviri, écrits d'un sauvage [Texte imprimé] / Paul Gauguin ; choisis et présentés par Daniel Guérin";"Gauguin , Paul ([Paris] : Gallimard, 1974 ;  18-Saint-Amand :  impr. Bussière)";Peintres   France   Biographies ;Collection Idées . Arts;;Français;;;
Citations du Président de Gaulle ;Gaulle , Charles de ;Citations du Président de Gaulle / choisies et présentées par Jean Lacouture;Gaulle , Charles de (Paris : Éditions du Seuil, DL 1968);France -- Politics and government -- 1958-   France -- 1958-1969 (Charles de Gaulle) ;"Politique ; 18";;Français;;;
Le Sexe des anges  ;Gautier , Jean-Marie , écrivain ;Le Sexe des anges [Texte imprimé] / Jean-Marie Gautier;Gautier , Jean-Marie , écrivain ([Paris] : Gallimard, 1974);;Le Chemin;;Français;;;
De la mode  ;Gautier , Théophile ;De la mode [Texte imprimé] / Théophile Gautier;"Gautier , Théophile (Arles : Actes sud, 1993 ;  53-Mayenne :  Impr. Floch)";;Les belles oubliées;;Français;2-7427-0037-4 ;9782742700370 ;
Les Mauvais plaisants  ;Gégauff , Paul ;Les Mauvais plaisants [Texte imprimé] / Paul Gegauff;Gégauff , Paul ((Paris) : les Éditions de Minuit (Impr. moderne), impr. 1951);;;;Français;;;
Hier, les enfants dansaient  : pièce en deux parties ;Gélinas , Gratien ;Hier, les enfants dansaient [Texte imprimé] : pièce en deux parties / de Gratien Gélinas;Gélinas , Gratien (Montréal : Leméac, [impr. 1969, cop. 1968]);;"Théâtre canadien ; 2";;Français;;;
Mauvaises pensées d'un travailleur social  ;Geng , Jean-Marie ;Mauvaises pensées d'un travailleur social [Texte imprimé] / J. M. Geng;Geng , Jean-Marie (Paris : Ed. du Seuil, 1977);Service social psychiatrique   Service social   Travailleurs sociaux ;Combats;;Français;2-02-004640-7 ;9782020046404 ;
Les murs de l'asile ;Gentis , Roger ;Les murs de l'asile / Roger Gentis;Gentis , Roger (Paris : François Maspero, 1970);Hospitals, Psychiatric   Mental Health Services   Hôpitaux psychiatriques  et autres;"Cahiers libres ; 163";;Français;;;
N'être ;Gentis , Roger ;"N'être / Roger Gentis ; dessins Philippe Bertrand";"Gentis , Roger (Paris : Flammarion, impr. 1977 ;  79-Niort :  impr. Soulisse et Cassegrain)";Psychiatrie   Psychiatry   Sex (Psychology) ;;;Français;2-08-211502-X ;9782082115025 ;
Une dame sans voyelles  ;Genty , Jean-François ;Une dame sans voyelles [Texte imprimé] / Jean-François Genty;Genty , Jean-François ([Paris] : Gallimard, 1978);;;;Français;;;
Deux études sur Sartre  ;George , François ;Deux études sur Sartre [Texte imprimé] / François George;"George , François ([Paris] : C. Bourgois, impr. 1976 ;  27-Évreux :  impr. Hérissey)";Sartre, Jean-Paul   Existentialisme -- Critique et interprétation -- 1905-1980 ;;;Français;2-267-00042-3 ;9782267000429 ;
Géographie économique & sociale de la France ;George , Pierre ;Géographie économique & sociale de la France / Pierre George, ...;George , Pierre (Paris : Éditions Hier & aujourd'hui, 1946);France -- Conditions économiques -- 1918-.... ;Collection Civilisation française;2e édition;Français;;;
Comment meurt l'autre moitié du monde ;George , Susan ;"Comment meurt l'autre moitié du monde / Susan George ; traduit de l'anglais par Zéno Bianu";George , Susan (Paris : Robert Laffont, DL 1976);Industries agroalimentaires   Aide alimentaire   Malnutrition  et autres;Réponses . Écologie;;Français;2-221-00217-2 ;9782221002179 ;
Naissance d'une princesse  ;Georges , Jean-Pierre ;Naissance d'une princesse [Texte imprimé] / Jean-Pierre George;"Georges , Jean-Pierre (Paris : la Table ronde, 1995 ;  27-Mesnil-sur-l'Estrée :  Impr. Firmin-Didot)";;;;Français;2-7103-0662-X ;9782710306627 ;
Court traité de la noblesse  ;Germain , Charles ;Court traité de la noblesse [Texte imprimé] / Charles Germain;Germain , Charles (Paris : Gallimard, 1952);;"Les essais ; 55";;Français;;;
Le Livre des nuits ;Germain , Sylvie ;Le Livre des nuits / Sylvie Germain;Germain , Sylvie ([Paris] : Gallimard, DL 1987);Roman français ;"Collection Folio ; 1806";;Français;2-07-037806-3  et autres;9782070378067  et autres;
Lo spettatore partecipante  : contributi per una antropologia del teatro ;Giacchè , Piergiorgio ;Lo spettatore partecipante [Texte imprimé] : contributi per una antropologia del teatro / Piergiorgio Giacchè;Giacchè , Piergiorgio (Milano : Guerini studio, impr. 1991);Théâtre   Anthropologie ;Ricerche;;Italien;;;
